Instrument Name,DustTrak II
Model Number,8530
Serial Number,8530152108
Firmware Version,3.5
Calibration Date,2017/05/03
Test Name,IAQ_INDOOR_013
Test Start Time,10:51:06
Test Start Date,2018/08/20
Test Length [D:H:M],2:22:8
Test Interval [M:S],2:0
Mass Average [mg/m3],0.047
Mass Minimum [mg/m3],0.019
Mass Maximum [mg/m3],0.427
Mass TWA [mg/m3],0.137
Photometric User Cal,0.38
Flow User Cal,0.00
Errors,
Number of Samples,2104

Elapsed Time [s],Mass [mg/m3],Alarms,Errors
79680,0.031,,
79800,0.032,,
79920,0.031,,
80040,0.031,,
80160,0.030,,
80280,0.031,,
80400,0.029,,
80520,0.029,,
80640,0.029,,
80760,0.027,,
80880,0.025,,
81000,0.026,,
81120,0.028,,
81240,0.027,,
81360,0.027,,
81480,0.027,,
81600,0.025,,
81720,0.026,,
81840,0.026,,
81960,0.029,,
82080,0.029,,
82200,0.029,,
82320,0.030,,
82440,0.030,,
82560,0.031,,
82680,0.030,,
82800,0.030,,
82920,0.029,,
83040,0.028,,
83160,0.028,,
83280,0.029,,
83400,0.029,,
83520,0.029,,
83640,0.029,,
83760,0.029,,
83880,0.029,,
84000,0.028,,
84120,0.027,,
84240,0.027,,
84360,0.027,,
84480,0.029,,
84600,0.029,,
84720,0.029,,
84840,0.029,,
84960,0.029,,
85080,0.029,,
85200,0.028,,
85320,0.029,,
85440,0.029,,
85560,0.029,,
85680,0.029,,
85800,0.028,,
85920,0.028,,
86040,0.029,,
86160,0.029,,
86280,0.029,,
86400,0.029,,
86520,0.025,,
86640,0.027,,
86760,0.027,,
86880,0.028,,
87000,0.028,,
87120,0.028,,
87240,0.027,,
87360,0.027,,
87480,0.027,,
87600,0.027,,
87720,0.027,,
87840,0.027,,
87960,0.027,,
88080,0.027,,
88200,0.027,,
88320,0.027,,
88440,0.027,,
88560,0.027,,
88680,0.027,,
88800,0.027,,
88920,0.027,,
89040,0.026,,
89160,0.026,,
89280,0.026,,
89400,0.027,,
89520,0.027,,
89640,0.026,,
89760,0.026,,
89880,0.026,,
90000,0.026,,
90120,0.026,,
90240,0.027,,
90360,0.026,,
90480,0.026,,
90600,0.026,,
90720,0.026,,
90840,0.026,,
90960,0.026,,
91080,0.026,,
91200,0.026,,
91320,0.026,,
91440,0.026,,
91560,0.026,,
91680,0.026,,
91800,0.026,,
91920,0.026,,
92040,0.026,,
92160,0.026,,
92280,0.026,,
92400,0.026,,
92520,0.026,,
92640,0.026,,
92760,0.026,,
92880,0.026,,
93000,0.026,,
