OPC-N2 FirmwareVer=OPC-018.1..............................BD
OPC-N2 176430716                                            
Config info:
GSC,1.000
LaserDAC,186
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
2397,767,236,51,6,12,4,3,1,0,0,1,0,0,0,0,16,20,23,22,4.727,1.386,234.645,278.042,323.180
2420,717,225,49,11,4,3,5,2,1,1,1,0,0,0,0,16,21,16,25,4.675,1.386,232.390,274.600,350.158
2428,710,235,40,9,6,4,2,2,1,0,0,0,0,0,0,16,18,26,27,4.650,1.382,234.923,276.965,296.538
2435,669,230,38,12,4,5,2,0,0,1,0,0,0,0,0,16,19,22,33,4.637,1.386,230.718,271.080,291.737
2455,757,218,35,5,4,2,1,0,0,2,1,0,0,0,0,16,19,23,9,4.631,1.386,238.945,278.251,350.892
2406,771,271,39,3,3,2,4,1,1,1,0,0,0,0,0,16,20,22,26,4.628,1.386,244.022,288.936,323.047
2446,647,238,55,10,3,8,2,3,1,0,0,0,0,0,0,16,20,18,13,4.627,1.386,231.322,274.623,298.645
2446,699,231,39,4,4,5,2,1,0,0,0,0,0,0,0,16,20,21,21,4.626,1.386,234.809,275.436,282.949
2415,633,220,42,7,5,3,1,1,1,0,0,0,0,0,0,16,20,27,23,4.625,1.383,226.171,264.876,279.739
2406,685,218,43,5,8,1,1,1,1,0,0,0,0,0,0,16,20,17,25,4.625,1.386,229.883,269.036,283.448
2442,682,204,46,4,4,3,1,3,0,0,0,0,0,0,0,16,20,21,17,4.625,1.386,230.038,268.465,281.245
2340,742,234,31,6,6,4,0,1,0,1,1,0,0,0,0,16,20,23,0,4.625,1.386,233.097,273.809,333.022
2515,712,215,37,4,2,8,2,1,1,0,0,0,0,0,0,16,22,26,30,4.625,1.386,238.019,278.183,295.167
2469,667,218,47,10,4,3,2,1,1,0,0,0,0,0,0,16,20,20,11,4.625,1.386,231.945,271.811,287.683
2411,710,233,44,11,1,4,3,0,0,0,0,0,0,0,0,16,19,27,24,4.625,1.383,235.083,276.429,281.285
2406,720,242,47,8,3,4,2,1,1,0,0,0,0,0,0,16,19,14,37,4.625,1.386,236.233,278.796,294.895
2374,667,263,48,5,8,4,3,1,1,0,1,0,0,0,0,16,20,22,34,4.625,1.386,231.846,275.972,330.737
2409,725,238,47,11,5,7,3,0,0,1,0,0,0,0,0,15,19,25,28,4.774,1.386,229.172,271.303,292.958
2467,707,243,34,6,4,2,1,0,0,0,0,0,0,0,0,16,21,24,25,4.698,1.386,234.317,274.024,276.284
2466,737,237,28,8,2,1,0,0,1,0,1,0,0,0,0,16,23,47,0,4.661,1.386,238.078,277.351,324.102
2419,702,227,52,3,1,2,2,0,1,0,0,0,0,0,0,16,20,27,20,4.643,1.383,233.230,273.094,285.093
2370,692,199,50,4,3,2,0,0,1,0,1,0,0,0,0,16,19,29,0,4.634,1.386,226.006,263.054,310.374
2452,716,227,44,9,3,2,2,0,1,0,0,0,0,0,0,16,20,26,19,4.630,1.386,236.360,276.778,288.905
2488,763,221,50,7,3,2,3,0,0,0,1,0,0,0,0,16,18,24,17,4.627,1.386,242.527,283.711,325.477
2530,714,255,44,4,3,6,0,1,2,0,0,0,0,0,0,16,20,32,0,4.626,1.386,243.978,287.276,310.583
2391,739,272,42,8,6,2,1,1,1,0,0,0,0,0,0,16,21,17,17,4.626,1.387,240.565,285.193,299.883
2396,754,238,50,8,10,8,0,0,0,0,0,1,0,0,0,16,19,25,0,4.625,1.383,239.362,283.464,342.141
2483,708,221,44,10,5,7,3,0,0,0,0,0,0,0,0,16,20,27,32,4.625,1.387,236.907,278.428,284.200
2391,689,236,43,6,7,2,2,1,0,1,0,1,0,0,0,16,20,20,32,4.625,1.387,231.530,272.564,351.339
2424,679,244,42,8,6,4,6,0,0,0,0,0,0,0,0,16,19,27,29,4.625,1.386,233.437,276.138,284.274
